check_item,doc_value,recomputed_value,source,status,note
table5.row6.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row7.var,职业,职业,docs\待填数据.docx(table5),PASS,分组标题
table5.row7.attr,学生,学生,docs\待填数据.docx(table5),PASS,属性名称
table5.row7.count,59,59,data\raw\数据.xlsx(Q4),PASS,人数
table5.row7.pct,6.70%,6.70%,data\raw\数据.xlsx(Q4),PASS,比例（2位小数）
table5.row7.total,100%,100%,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row8.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row8.attr,企业/公司职员,企业/公司职员,docs\待填数据.docx(table5),PASS,属性名称
table5.row8.count,339,339,data\raw\数据.xlsx(Q4),PASS,人数
table5.row8.pct,38.52%,38.52%,data\raw\数据.xlsx(Q4),PASS,比例（2位小数）
table5.row8.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row9.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row9.attr,事业单位人员/公务员,事业单位人员/公务员,docs\待填数据.docx(table5),PASS,属性名称
table5.row9.count,84,84,data\raw\数据.xlsx(Q4),PASS,人数
table5.row9.pct,9.55%,9.55%,data\raw\数据.xlsx(Q4),PASS,比例（2位小数）
table5.row9.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row10.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row10.attr,自由职业者,自由职业者,docs\待填数据.docx(table5),PASS,属性名称
table5.row10.count,91,91,data\raw\数据.xlsx(Q4),PASS,人数
table5.row10.pct,10.34%,10.34%,data\raw\数据.xlsx(Q4),PASS,比例（2位小数）
table5.row10.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row11.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row11.attr,个体经营者,个体经营者,docs\待填数据.docx(table5),PASS,属性名称
table5.row11.count,156,156,data\raw\数据.xlsx(Q4),PASS,人数
table5.row11.pct,17.73%,17.73%,data\raw\数据.xlsx(Q4),PASS,比例（2位小数）
table5.row11.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row12.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row12.attr,服务业从业者,服务业从业者,docs\待填数据.docx(table5),PASS,属性名称
table5.row12.count,111,111,data\raw\数据.xlsx(Q4),PASS,人数
table5.row12.pct,12.61%,12.61%,data\raw\数据.xlsx(Q4),PASS,比例（2位小数）
table5.row12.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row13.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row13.attr,离退休人员,离退休人员,docs\待填数据.docx(table5),PASS,属性名称
table5.row13.count,0,0,data\raw\数据.xlsx(Q4),PASS,人数
table5.row13.pct,0.00%,0.00%,data\raw\数据.xlsx(Q4),PASS,比例（2位小数）
table5.row13.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row14.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row14.attr,其他,其他,docs\待填数据.docx(table5),PASS,属性名称
table5.row14.count,40,40,data\raw\数据.xlsx(Q4),PASS,人数
table5.row14.pct,4.55%,4.55%,data\raw\数据.xlsx(Q4),PASS,比例（2位小数）
table5.row14.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row15.var,月收入,月收入,docs\待填数据.docx(table5),PASS,分组标题
table5.row15.attr,3000元以下,3000元以下,docs\待填数据.docx(table5),PASS,属性名称
table5.row15.count,140,140,data\raw\数据.xlsx(Q5),PASS,人数
table5.row15.pct,15.91%,15.91%,data\raw\数据.xlsx(Q5),PASS,比例（2位小数）
table5.row15.total,100%,100%,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row16.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row16.attr,3001-5000元,3001-5000元,docs\待填数据.docx(table5),PASS,属性名称
table5.row16.count,234,234,data\raw\数据.xlsx(Q5),PASS,人数
table5.row16.pct,26.59%,26.59%,data\raw\数据.xlsx(Q5),PASS,比例（2位小数）
table5.row16.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row17.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row17.attr,5001-8000元,5001-8000元,docs\待填数据.docx(table5),PASS,属性名称
table5.row17.count,312,312,data\raw\数据.xlsx(Q5),PASS,人数
table5.row17.pct,35.45%,35.45%,data\raw\数据.xlsx(Q5),PASS,比例（2位小数）
table5.row17.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row18.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row18.attr,8001-15000元,8001-15000元,docs\待填数据.docx(table5),PASS,属性名称
table5.row18.count,154,154,data\raw\数据.xlsx(Q5),PASS,人数
table5.row18.pct,17.50%,17.50%,data\raw\数据.xlsx(Q5),PASS,比例（2位小数）
table5.row18.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row19.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row19.attr,15000元以上,15000元以上,docs\待填数据.docx(table5),PASS,属性名称
table5.row19.count,40,40,data\raw\数据.xlsx(Q5),PASS,人数
table5.row19.pct,4.55%,4.55%,data\raw\数据.xlsx(Q5),PASS,比例（2位小数）
table5.row19.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.valid_n.label,有效填写人次,有效填写人次,docs\待填数据.docx(table5),PASS,汇总标签
table5.valid_n.value,880,880,data\raw\数据.xlsx,PASS,样本总数（质控后）
artifact.table3_6.row_count,19,19,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,行数
artifact.table3_6.row1.var,文化程度,文化程度,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,变量
artifact.table3_6.row1.attr,初中及以下,初中及以下,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,属性
artifact.table3_6.row1.count,69,69,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,人数
artifact.table3_6.row1.pct,7.84%,7.84%,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,比例
artifact.table3_6.row1.total,100%,100%,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,总计
artifact.table3_6.row2.var,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,变量
artifact.table3_6.row2.attr,中专/高中,中专/高中,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,属性
artifact.table3_6.row2.count,97,97,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,人数
artifact.table3_6.row2.pct,11.02%,11.02%,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,比例
artifact.table3_6.row2.total,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,总计
artifact.table3_6.row3.var,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,变量
artifact.table3_6.row3.attr,大专,大专,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,属性
artifact.table3_6.row3.count,205,205,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,人数
artifact.table3_6.row3.pct,23.30%,23.30%,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,比例
artifact.table3_6.row3.total,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,总计
artifact.table3_6.row4.var,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,变量
artifact.table3_6.row4.attr,本科,本科,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,属性
artifact.table3_6.row4.count,345,345,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,人数
artifact.table3_6.row4.pct,39.20%,39.20%,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,比例
artifact.table3_6.row4.total,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,总计
artifact.table3_6.row5.var,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,变量
artifact.table3_6.row5.attr,硕士及以上,硕士及以上,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,属性
artifact.table3_6.row5.count,164,164,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,人数
artifact.table3_6.row5.pct,18.64%,18.64%,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,比例
artifact.table3_6.row5.total,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,总计
artifact.table3_6.row6.var,职业,职业,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,变量
artifact.table3_6.row6.attr,学生,学生,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,属性
artifact.table3_6.row6.count,59,59,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,人数
artifact.table3_6.row6.pct,6.70%,6.70%,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,比例
artifact.table3_6.row6.total,100%,100%,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,总计
artifact.table3_6.row7.var,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,变量
artifact.table3_6.row7.attr,企业/公司职员,企业/公司职员,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,属性
artifact.table3_6.row7.count,339,339,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,人数
artifact.table3_6.row7.pct,38.52%,38.52%,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,比例
artifact.table3_6.row7.total,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,总计
artifact.table3_6.row8.var,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,变量
artifact.table3_6.row8.attr,事业单位人员/公务员,事业单位人员/公务员,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,属性
artifact.table3_6.row8.count,84,84,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,人数
artifact.table3_6.row8.pct,9.55%,9.55%,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,比例
artifact.table3_6.row8.total,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,总计
artifact.table3_6.row9.var,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,变量
artifact.table3_6.row9.attr,自由职业者,自由职业者,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,属性
artifact.table3_6.row9.count,91,91,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,人数
artifact.table3_6.row9.pct,10.34%,10.34%,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,比例
artifact.table3_6.row9.total,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,总计
artifact.table3_6.row10.var,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,变量
artifact.table3_6.row10.attr,个体经营者,个体经营者,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,属性
artifact.table3_6.row10.count,156,156,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,人数
artifact.table3_6.row10.pct,17.73%,17.73%,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,比例
artifact.table3_6.row10.total,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,总计
artifact.table3_6.row11.var,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,变量
artifact.table3_6.row11.attr,服务业从业者,服务业从业者,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,属性
artifact.table3_6.row11.count,111,111,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,人数
artifact.table3_6.row11.pct,12.61%,12.61%,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,比例
artifact.table3_6.row11.total,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,总计
artifact.table3_6.row12.var,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,变量
artifact.table3_6.row12.attr,离退休人员,离退休人员,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,属性
artifact.table3_6.row12.count,0,0,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,人数
artifact.table3_6.row12.pct,0.00%,0.00%,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,比例
artifact.table3_6.row12.total,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,总计
artifact.table3_6.row13.var,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,变量
artifact.table3_6.row13.attr,其他,其他,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,属性
artifact.table3_6.row13.count,40,40,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,人数
artifact.table3_6.row13.pct,4.55%,4.55%,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,比例
artifact.table3_6.row13.total,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,总计
artifact.table3_6.row14.var,月收入,月收入,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,变量
artifact.table3_6.row14.attr,3000元以下,3000元以下,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,属性
artifact.table3_6.row14.count,140,140,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,人数
artifact.table3_6.row14.pct,15.91%,15.91%,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,比例
artifact.table3_6.row14.total,100%,100%,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,总计
artifact.table3_6.row15.var,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,变量
artifact.table3_6.row15.attr,3001-5000元,3001-5000元,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,属性
artifact.table3_6.row15.count,234,234,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,人数
artifact.table3_6.row15.pct,26.59%,26.59%,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,比例
artifact.table3_6.row15.total,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,总计
artifact.table3_6.row16.var,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,变量
artifact.table3_6.row16.attr,5001-8000元,5001-8000元,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,属性
artifact.table3_6.row16.count,312,312,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,人数
artifact.table3_6.row16.pct,35.45%,35.45%,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,比例
artifact.table3_6.row16.total,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,总计
artifact.table3_6.row17.var,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,变量
artifact.table3_6.row17.attr,8001-15000元,8001-15000元,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,属性
artifact.table3_6.row17.count,154,154,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,人数
artifact.table3_6.row17.pct,17.50%,17.50%,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,比例
artifact.table3_6.row17.total,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,总计
artifact.table3_6.row18.var,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,变量
artifact.table3_6.row18.attr,15000元以上,15000元以上,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,属性
artifact.table3_6.row18.count,40,40,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,人数
artifact.table3_6.row18.pct,4.55%,4.55%,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,比例
artifact.table3_6.row18.total,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,总计
artifact.table3_6.row19.var,有效填写人次,有效填写人次,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,变量
artifact.table3_6.row19.attr,880,880,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,属性
artifact.table3_6.row19.count,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,人数
artifact.table3_6.row19.pct,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,比例
artifact.table3_6.row19.total,,,output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,PASS,总计
artifact.age_gender_csv.row_count,5,5,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,年龄分组数
artifact.age_gender_csv.row1.age_code,1,1,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,年龄编码
artifact.age_gender_csv.row1.age_label,18岁以下,18岁以下,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,年龄段
artifact.age_gender_csv.row1.male,18,18,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,男
artifact.age_gender_csv.row1.female,18,18,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,女
artifact.age_gender_csv.row1.total,36,36,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,合计
artifact.age_gender_csv.row1.pct,4.09%,4.09%,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,占比
artifact.age_gender_csv.row2.age_code,3,3,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,年龄编码
artifact.age_gender_csv.row2.age_label,18-25岁,18-25岁,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,年龄段
artifact.age_gender_csv.row2.male,150,150,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,男
artifact.age_gender_csv.row2.female,144,144,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,女
artifact.age_gender_csv.row2.total,294,294,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,合计
artifact.age_gender_csv.row2.pct,33.41%,33.41%,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,占比
artifact.age_gender_csv.row3.age_code,2,2,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,年龄编码
artifact.age_gender_csv.row3.age_label,26-45岁,26-45岁,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,年龄段
artifact.age_gender_csv.row3.male,159,159,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,男
artifact.age_gender_csv.row3.female,157,157,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,女
artifact.age_gender_csv.row3.total,316,316,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,合计
artifact.age_gender_csv.row3.pct,35.91%,35.91%,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,占比
artifact.age_gender_csv.row4.age_code,4,4,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,年龄编码
artifact.age_gender_csv.row4.age_label,46-64岁,46-64岁,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,年龄段
artifact.age_gender_csv.row4.male,76,76,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,男
artifact.age_gender_csv.row4.female,77,77,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,女
artifact.age_gender_csv.row4.total,153,153,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,合计
artifact.age_gender_csv.row4.pct,17.39%,17.39%,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,占比
artifact.age_gender_csv.row5.age_code,5,5,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,年龄编码
artifact.age_gender_csv.row5.age_label,65岁及以上,65岁及以上,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,年龄段
artifact.age_gender_csv.row5.male,49,49,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,男
artifact.age_gender_csv.row5.female,32,32,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,女
artifact.age_gender_csv.row5.total,81,81,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,合计
artifact.age_gender_csv.row5.pct,9.20%,9.20%,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,占比
artifact.age_gender_csv.total_sum,880,880,output_tmp_baseline\tables\年龄性别分布_频数表.csv,PASS,各年龄段合计应等于有效样本
artifact.age_gender_figure.exists,exists,exists,output_tmp_baseline\figures\年龄段人数_性别堆叠图.png,PASS,图像文件存在
artifact.age_gender_figure.size,62686,>0,output_tmp_baseline\figures\年龄段人数_性别堆叠图.png,PASS,图像文件大小
pending.table1_r2_c2,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r2_c3,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r2_c4,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
