location,old_value,new_value,source_table,calculation_rule
table3_r6_c4,可接受,可接受,alpha评级规则,>=0.8良好，>=0.7可接受
table3_r7_c2,13,13,survey_clean.csv,维度题项数
table3_r7_c3,0.8278,0.8278,survey_clean.csv + cronbach_alpha,Cronbach alpha（4位小数）
table3_r7_c4,良好,良好,alpha评级规则,>=0.8良好，>=0.7可接受
table4_r2_c2,0.9396,0.9396,效度分析表.csv,KMO
table4_r3_c2,15872.136,15872.136,效度分析表.csv,Bartlett球形检验近似卡方
table4_r4_c2,666,666,效度分析表.csv,自由度df
table4_r5_c2,<0.001,<0.001,效度分析表.csv,显著性p
table5_r2_c1,文化程度,文化程度,结构表口径,分组标题/留空控制
table5_r2_c2,初中及以下,初中及以下,单选题频数百分比表.csv,属性名
table5_r2_c3,69,69,单选题频数百分比表.csv,人数
table5_r2_c4,7.84%,7.84%,单选题频数百分比表.csv,比例(2位小数)
table5_r2_c5,100%,100%,分组总计,组首100%
table5_r3_c1,,,结构表口径,分组标题/留空控制
table5_r3_c2,中专/高中,中专/高中,单选题频数百分比表.csv,属性名
table5_r3_c3,97,97,单选题频数百分比表.csv,人数
table5_r3_c4,11.02%,11.02%,单选题频数百分比表.csv,比例(2位小数)
table5_r3_c5,,,分组总计,组首100%
table5_r4_c1,,,结构表口径,分组标题/留空控制
table5_r4_c2,大专,大专,单选题频数百分比表.csv,属性名
table5_r4_c3,205,205,单选题频数百分比表.csv,人数
table5_r4_c4,23.30%,23.30%,单选题频数百分比表.csv,比例(2位小数)
table5_r4_c5,,,分组总计,组首100%
table5_r5_c1,,,结构表口径,分组标题/留空控制
table5_r5_c2,本科,本科,单选题频数百分比表.csv,属性名
table5_r5_c3,345,345,单选题频数百分比表.csv,人数
table5_r5_c4,39.20%,39.20%,单选题频数百分比表.csv,比例(2位小数)
table5_r5_c5,,,分组总计,组首100%
table5_r6_c1,,,结构表口径,分组标题/留空控制
table5_r6_c2,硕士及以上,硕士及以上,单选题频数百分比表.csv,属性名
table5_r6_c3,164,164,单选题频数百分比表.csv,人数
table5_r6_c4,18.64%,18.64%,单选题频数百分比表.csv,比例(2位小数)
table5_r6_c5,,,分组总计,组首100%
table5_r7_c1,职业,职业,结构表口径,分组标题/留空控制
table5_r7_c2,学生,学生,单选题频数百分比表.csv,属性名
table5_r7_c3,59,59,单选题频数百分比表.csv,人数
table5_r7_c4,6.70%,6.70%,单选题频数百分比表.csv,比例(2位小数)
table5_r7_c5,100%,100%,分组总计,组首100%
table5_r8_c1,,,结构表口径,分组标题/留空控制
table5_r8_c2,企业/公司职员,企业/公司职员,单选题频数百分比表.csv,属性名
table5_r8_c3,339,339,单选题频数百分比表.csv,人数
table5_r8_c4,38.52%,38.52%,单选题频数百分比表.csv,比例(2位小数)
table5_r8_c5,,,分组总计,组首100%
table5_r9_c1,,,结构表口径,分组标题/留空控制
table5_r9_c2,事业单位人员/公务员,事业单位人员/公务员,单选题频数百分比表.csv,属性名
table5_r9_c3,84,84,单选题频数百分比表.csv,人数
table5_r9_c4,9.55%,9.55%,单选题频数百分比表.csv,比例(2位小数)
table5_r9_c5,,,分组总计,组首100%
table5_r10_c1,,,结构表口径,分组标题/留空控制
table5_r10_c2,自由职业者,自由职业者,单选题频数百分比表.csv,属性名
table5_r10_c3,91,91,单选题频数百分比表.csv,人数
table5_r10_c4,10.34%,10.34%,单选题频数百分比表.csv,比例(2位小数)
table5_r10_c5,,,分组总计,组首100%
table5_r11_c1,,,结构表口径,分组标题/留空控制
table5_r11_c2,个体经营者,个体经营者,单选题频数百分比表.csv,属性名
table5_r11_c3,156,156,单选题频数百分比表.csv,人数
table5_r11_c4,17.73%,17.73%,单选题频数百分比表.csv,比例(2位小数)
table5_r11_c5,,,分组总计,组首100%
table5_r12_c1,,,结构表口径,分组标题/留空控制
table5_r12_c2,服务业从业者,服务业从业者,单选题频数百分比表.csv,属性名
table5_r12_c3,111,111,单选题频数百分比表.csv,人数
table5_r12_c4,12.61%,12.61%,单选题频数百分比表.csv,比例(2位小数)
table5_r12_c5,,,分组总计,组首100%
table5_r13_c1,,,结构表口径,分组标题/留空控制
table5_r13_c2,离退休人员,离退休人员,单选题频数百分比表.csv,属性名
table5_r13_c3,0,0,单选题频数百分比表.csv,人数
table5_r13_c4,0.00%,0.00%,单选题频数百分比表.csv,比例(2位小数)
table5_r13_c5,,,分组总计,组首100%
table5_r14_c1,,,结构表口径,分组标题/留空控制
table5_r14_c2,其他,其他,单选题频数百分比表.csv,属性名
table5_r14_c3,40,40,单选题频数百分比表.csv,人数
table5_r14_c4,4.55%,4.55%,单选题频数百分比表.csv,比例(2位小数)
table5_r14_c5,,,分组总计,组首100%
table5_r15_c1,月收入,月收入,结构表口径,分组标题/留空控制
table5_r15_c2,3000元以下,3000元以下,单选题频数百分比表.csv,属性名
table5_r15_c3,140,140,单选题频数百分比表.csv,人数
table5_r15_c4,15.91%,15.91%,单选题频数百分比表.csv,比例(2位小数)
table5_r15_c5,100%,100%,分组总计,组首100%
table5_r16_c1,,,结构表口径,分组标题/留空控制
table5_r16_c2,3001-5000元,3001-5000元,单选题频数百分比表.csv,属性名
table5_r16_c3,234,234,单选题频数百分比表.csv,人数
table5_r16_c4,26.59%,26.59%,单选题频数百分比表.csv,比例(2位小数)
table5_r16_c5,,,分组总计,组首100%
table5_r17_c1,,,结构表口径,分组标题/留空控制
table5_r17_c2,5001-8000元,5001-8000元,单选题频数百分比表.csv,属性名
table5_r17_c3,312,312,单选题频数百分比表.csv,人数
table5_r17_c4,35.45%,35.45%,单选题频数百分比表.csv,比例(2位小数)
table5_r17_c5,,,分组总计,组首100%
table5_r18_c1,,,结构表口径,分组标题/留空控制
table5_r18_c2,8001-15000元,8001-15000元,单选题频数百分比表.csv,属性名
table5_r18_c3,154,154,单选题频数百分比表.csv,人数
table5_r18_c4,17.50%,17.50%,单选题频数百分比表.csv,比例(2位小数)
table5_r18_c5,,,分组总计,组首100%
table5_r19_c1,,,结构表口径,分组标题/留空控制
table5_r19_c2,15000元以上,15000元以上,单选题频数百分比表.csv,属性名
table5_r19_c3,40,40,单选题频数百分比表.csv,人数
table5_r19_c4,4.55%,4.55%,单选题频数百分比表.csv,比例(2位小数)
table5_r19_c5,,,分组总计,组首100%
table5_r20_c1,有效填写人次,有效填写人次,样本总量,固定标签
table5_r20_c2,880,880,run_metadata.json + survey_clean.csv,有效样本总数（质控后；分母=raw_n=961）
artifact.table3_6_csv,(n/a),output_tmp_baseline\tables\表3-6_受访者基本信息频数表.csv,"单选题频数百分比表.csv(Q3,Q4,Q5)",导出表3-6频数表CSV
artifact.age_gender_csv,(n/a),output_tmp_baseline\tables\年龄性别分布_频数表.csv,"survey_clean.csv(C001,C002)",导出年龄×性别频数CSV
artifact.age_gender_figure,(n/a),output_tmp_baseline\figures\年龄段人数_性别堆叠图.png,"survey_clean.csv(C001,C002)",导出年龄段人数性别堆叠图
