respondent_id,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031,C032,C033,C034,C035,C036,C037,C038,C039,C040,C041,C042,C043,C044,C045,C046,C047,C048,C049,C050,C051,C052,C053,C054,C055,C056,C057,C058,C059,C060,C061,C062,C063,C064,C065,C066,C067,C068,C069,C070,C071,C072,C073,C074,C075,C076,C077,C078,C079,C080,C081,C082,C083,C084,C085,C086,C087,C088,C089,C090,C091,C092,C093,C094,C095,C096,C097,C098,C099,C100,C101,C102,C103,C104,C105,C106,C107,C108
202,2,4,5,2,2,1,2,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,2,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,5,4,5,3,4,4,4,5,3,4,4,4,3,4,3,5,4,5,4,4,4,5,5,3,5,4,4,3,3,3,3,3,4,4,4,4,4,2,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,无
203,1,3,3,4,2,1,4,2,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,3,2,0,1,0,1,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,1,0,0,1,0,0,3,3,4,4,4,3,4,4,5,3,3,2,1,4,4,4,4,3,4,5,4,5,5,5,4,4,5,5,4,3,4,4,5,5,4,3,4,4,2,2,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,无
204,1,3,3,2,2,2,3,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,4,3,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,5,4,3,4,5,4,4,4,4,4,4,5,3,5,4,5,5,3,3,5,5,4,5,3,2,1,1,1,2,3,2,4,1,3,4,3,4,3,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1^无,无
205,2,3,3,6,3,2,2,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,3,2,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,4,4,4,5,3,5,4,4,4,5,4,4,4,4,4,4,3,5,4,3,5,5,4,3,5,3,5,4,4,4,5,4,5,5,5,5,5,2,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,无
206,1,3,1,2,3,2,2,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,2,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,4,3,4,4,3,1,1,1,2,4,5,5,5,4,4,4,4,3,5,3,5,4,4,5,4,4,4,4,5,4,4,4,4,4,5,4,4,2,3,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,无
207,1,2,5,6,3,1,2,2,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,3,1,1,0,1,0,0,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,1,0,0,1,0,0,4,4,4,3,5,4,4,4,5,5,4,5,3,5,4,3,4,3,4,5,4,3,5,3,4,4,4,5,4,5,4,5,4,3,4,4,4,5,3,2,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,无
208,1,5,4,2,3,3,4,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,2,5,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,3,4,4,4,4,4,4,5,5,4,5,5,3,2,1,2,2,1,2,2,3,1,1,5,4,4,5,4,4,4,4,4,5,4,5,5,3,3,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,无
209,1,4,3,2,3,2,2,2,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,3,3,0,1,0,1,0,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,0,1,0,0,0,0,1,3,2,2,3,4,1,2,4,3,3,3,3,2,3,1,2,2,3,2,3,1,2,2,3,3,1,2,3,3,2,2,3,3,3,2,3,3,4,4,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,无
210,1,5,4,2,3,3,2,2,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,2,3,1,1,0,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,1,0,0,1,0,0,4,3,5,4,5,4,5,4,3,5,4,5,4,4,5,4,5,3,4,4,4,4,5,3,4,4,5,3,3,3,5,3,4,5,5,5,5,5,2,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1^无,无
211,2,3,4,2,3,1,3,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,2,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,4,3,4,4,4,5,4,4,3,4,5,4,4,3,5,4,3,4,4,4,5,4,4,4,3,5,4,4,3,5,3,5,5,5,5,5,5,2,2,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1^无,无
212,1,3,3,3,3,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,5,5,4,5,3,4,4,3,3,5,5,3,5,4,3,5,5,4,5,5,4,3,5,5,3,5,3,3,4,5,4,4,4,4,4,4,5,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,无
213,1,3,3,4,2,3,2,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,3,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,1,3,1,2,1,4,2,1,4,1,1,3,1,4,2,3,1,1,1,3,3,2,2,3,2,2,1,2,2,1,3,1,2,3,3,3,2,3,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,无
214,1,3,3,2,4,1,2,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1^无,2,4,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,3,5,4,3,4,4,5,3,4,5,4,4,4,5,4,4,5,4,4,5,3,5,5,4,3,3,5,3,5,4,5,4,4,1,3,4,3,2,3,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,无
215,1,2,4,6,5,1,3,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,2,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,4,3,5,4,5,2,1,4,1,4,3,4,5,5,4,5,5,3,3,4,3,3,3,4,3,4,5,4,5,4,5,3,5,4,4,3,4,2,2,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,无
216,2,3,5,2,1,1,3,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,3,3,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,4,4,3,4,3,4,4,4,5,5,3,4,4,4,4,5,4,4,4,4,5,4,5,4,4,4,3,4,5,4,4,4,5,2,3,3,3,3,3,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,无
217,1,5,4,8^无,4,2,5,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,3,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,4,1,5,4,3,5,5,5,5,4,4,4,5,4,4,4,4,4,3,4,4,5,5,4,5,4,5,4,3,3,4,5,4,5,5,5,4,3,2,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,无
218,1,4,5,8^无,3,2,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,4,2,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,4,5,4,3,4,3,4,4,5,4,4,4,3,4,4,5,3,5,5,5,4,3,5,4,4,4,3,3,3,4,4,4,5,5,4,3,4,3,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,无
219,1,3,3,3,3,1,3,2,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,3,2,0,1,1,0,0,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,0,1,0,0,1,0,0,0,4,5,4,2,2,2,4,4,5,3,5,4,3,5,5,4,3,3,5,4,4,4,3,4,3,4,5,4,3,5,5,3,4,4,4,5,4,4,2,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,无
220,2,3,1,4,4,3,2,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,2,3,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,4,3,5,4,4,4,3,3,4,5,5,4,4,5,4,4,5,5,4,3,4,4,5,5,4,4,5,5,3,5,5,5,4,4,4,3,5,2,2,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,无
221,2,3,5,6,2,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,3,4,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,1,2,3,5,4,3,5,4,4,1,3,3,2,5,3,4,5,5,5,4,5,4,4,5,5,5,4,3,4,4,5,5,4,4,4,5,5,2,2,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,无
222,2,2,3,6,2,2,3,1,0,1,0,0,0,0,1^无,0,0,1,1,0,1,0,0,1,3,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,5,3,3,5,3,4,5,3,4,4,4,3,5,3,4,4,4,3,4,4,5,4,4,3,4,4,4,5,5,5,3,3,5,3,4,4,5,3,2,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,无
223,1,4,3,2,2,1,2,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,3,4,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,3,3,3,5,4,4,4,5,4,5,4,4,4,4,4,5,3,5,5,5,4,3,5,4,4,3,5,5,3,5,5,4,4,5,4,5,4,3,3,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,无
224,2,2,3,5,2,3,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,2,4,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,5,5,5,4,4,5,5,4,4,5,4,4,4,5,4,3,3,4,4,5,5,4,4,3,4,4,4,5,4,4,4,5,3,4,3,5,4,1,2,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,无
225,1,4,4,2,4,1,3,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,2,2,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,4,5,1,4,2,4,4,4,4,4,3,4,5,4,4,4,4,5,5,4,5,5,5,1,2,1,2,2,2,2,3,3,3,4,5,5,5,1,2,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,无
226,1,3,5,4,1,1,3,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,4,3,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,2,2,2,2,1,3,2,3,1,3,3,2,3,2,2,2,1,3,3,2,2,3,4,4,1,2,2,3,1,2,2,3,2,1,3,5,4,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,无
227,2,4,4,4,1,3,3,2,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,3,3,0,1,1,0,0,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,0,1,0,0,0,0,4,4,5,5,4,5,3,3,3,4,5,4,5,5,5,4,5,3,4,3,5,5,3,5,3,4,4,3,5,4,5,3,5,4,5,4,5,4,2,2,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,无
228,1,3,2,3,2,1,3,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,4,3,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,4,4,5,4,4,5,4,4,5,4,4,3,3,4,5,5,4,4,4,5,5,5,5,4,5,4,4,3,4,3,3,3,3,3,3,5,4,1,2,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,无
229,1,2,3,5,3,3,3,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,2,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,5,4,3,4,4,4,3,5,4,4,5,4,4,4,4,4,3,4,5,5,3,4,5,5,4,4,4,4,3,5,5,4,4,4,4,4,4,1,2,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1^无,无
230,2,4,4,4,3,2,3,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,3,2,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,4,5,2,3,2,5,4,4,3,5,3,5,5,5,4,4,5,3,4,4,4,5,3,3,4,4,4,4,4,4,4,5,4,4,4,5,4,2,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,无
231,1,2,4,2,3,2,3,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,2,2,1,3,4,2,3,3,2,1,3,2,3,4,4,4,4,3,5,4,4,3,4,5,4,3,5,3,3,4,4,4,5,1,3,2,2,1,2,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,无
232,1,3,4,2,4,1,3,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,3,3,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,5,4,3,1,2,4,4,4,5,4,5,5,4,4,4,4,5,3,5,5,5,3,5,4,4,4,4,4,5,5,4,3,5,3,4,3,4,1,3,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,无
233,1,4,4,2,3,2,2,2,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,3,3,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,0,0,1,0,0,0,3,3,3,3,5,4,4,4,5,4,5,4,5,3,4,4,3,4,4,5,4,3,4,3,5,4,4,5,4,4,4,4,4,5,5,4,4,3,2,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1^无,无
234,2,4,3,5,2,2,3,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,2,2,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,4,4,4,5,4,3,3,2,1,3,5,4,5,4,4,5,4,4,4,4,4,4,4,3,4,4,3,5,4,5,3,5,4,5,5,5,4,4,4,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,无
235,1,2,2,6,1,3,5,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,3,2,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,4,4,4,4,5,5,4,4,4,5,5,5,5,2,3,2,2,2,1,3,3,2,2,4,3,4,5,4,5,4,5,3,5,5,3,5,4,1,2,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,无
236,1,5,5,2,2,4,2,2,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,2,3,1,1,0,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,0,1,0,1,0,0,4,5,5,4,4,5,3,5,5,5,4,4,5,3,4,4,3,4,4,5,4,3,4,3,3,2,3,4,1,3,3,3,2,1,4,5,3,4,4,5,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,无
237,2,1,5,4,3,3,3,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,2,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,3,5,5,4,4,5,4,5,4,5,5,5,5,4,4,4,3,4,4,4,4,3,4,1,3,3,1,1,3,2,3,2,1,3,4,4,5,4,5,0,1,0,1,0,1,0,0,1^无,1,0,1,0,0,1,0,无
238,1,3,4,4,1,1,3,2,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,3,3,0,1,0,1,0,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,0,0,1,0,0,0,4,3,4,4,5,4,4,3,4,4,3,4,4,5,4,3,4,3,5,4,5,4,4,3,5,5,5,3,5,3,4,5,3,5,4,5,3,4,1,2,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,无
239,1,2,5,2,3,3,2,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,2,3,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,5,4,4,5,4,5,3,4,3,4,5,5,4,4,5,4,4,4,3,4,3,5,4,5,4,3,3,3,4,5,4,4,4,5,3,4,5,2,2,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,无
240,2,1,1,3,3,2,3,1,0,1,0,0,0,0,1^无,0,1,0,1,1,0,1,0,3,5,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,3,5,5,3,4,3,4,5,5,5,4,4,4,4,3,4,4,5,4,3,4,5,4,5,4,5,5,4,3,4,5,4,4,4,3,4,4,3,3,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,无
241,1,4,1,5,3,1,2,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,3,4,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,3,3,4,5,5,4,4,4,4,4,5,4,4,4,5,5,3,5,5,4,5,5,5,5,5,3,5,4,4,4,4,4,5,5,4,3,2,2,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,无
242,1,2,3,2,1,3,3,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,4,4,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,4,3,5,5,4,3,5,4,5,4,3,4,4,5,3,3,5,4,4,4,4,4,5,5,3,3,5,4,5,4,4,4,3,2,3,3,3,3,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,无
243,2,3,4,2,2,2,2,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,2,4,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,5,5,4,2,1,3,2,2,1,3,1,1,3,4,1,3,1,2,3,4,1,1,2,1,1,2,4,2,3,1,2,3,3,5,4,5,4,4,4,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,无
244,1,5,4,3,3,1,3,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1^无,4,2,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,5,4,5,4,5,3,4,3,3,5,3,3,5,4,5,4,5,4,3,4,4,4,3,4,5,4,4,5,4,4,4,3,4,4,5,4,4,1,2,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,无
245,1,2,5,2,2,1,3,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,3,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,4,4,4,4,3,5,5,5,5,5,4,3,4,4,4,4,4,3,5,4,5,4,3,4,3,4,3,5,5,5,5,5,3,4,5,5,4,2,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,无
246,2,2,2,2,3,1,3,2,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,2,3,0,1,1,0,0,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,1,0,0,1,0,0,4,5,3,5,4,4,4,3,5,4,4,5,3,5,4,4,4,4,5,5,5,4,4,4,4,4,3,5,5,3,4,4,4,4,4,4,4,5,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,无
247,2,4,3,4,2,1,5,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,4,5,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,5,3,3,5,4,5,5,4,4,4,4,4,5,5,5,5,5,4,3,5,4,3,5,2,2,2,3,4,2,3,3,1,2,4,3,3,4,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,无
248,2,3,3,2,5,2,3,2,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,2,1,0,1,0,0,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,0,0,1,0,1,0,0,0,4,5,4,4,5,4,3,4,5,3,3,1,1,2,4,4,4,4,4,4,4,3,3,4,5,5,5,4,4,5,5,5,4,4,4,4,5,4,3,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,无
249,2,3,5,2,4,1,2,2,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,4,2,0,1,1,0,0,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,0,1,0,0,1,0,0,0,2,2,3,1,4,2,3,2,2,1,4,5,4,5,3,3,1,4,3,3,2,2,2,2,1,2,1,2,3,1,3,3,3,2,2,1,3,2,2,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1^无,无
250,2,4,1,8^无,1,2,3,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,3,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,4,5,2,1,2,5,4,5,4,1,1,2,3,4,3,4,4,5,5,4,5,3,3,5,5,3,3,4,5,3,4,4,5,1,3,2,3,2,3,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,无
251,1,3,4,2,2,1,3,2,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,3,3,0,1,0,1,0,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,1,0,0,1,0,0,1,1,1,3,4,3,3,1,1,4,1,3,3,2,1,3,1,1,1,3,3,2,1,1,3,3,2,1,3,4,2,1,3,1,3,3,3,5,4,4,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,无
252,2,2,3,2,3,1,2,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,3,3,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,5,5,4,4,5,5,5,5,4,5,5,5,5,5,5,3,3,5,5,5,5,3,3,5,4,4,3,3,3,3,3,4,4,5,3,4,4,4,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,无
253,2,2,2,4,3,3,3,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,3,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,1,3,3,1,2,2,2,2,3,2,3,3,3,3,1,2,3,3,2,2,2,1,2,3,4,4,1,2,2,3,1,2,2,2,2,4,3,3,2,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,无
254,1,2,5,4,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,3,3,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,4,4,5,5,4,3,4,5,4,2,3,1,2,4,5,4,4,5,5,4,4,4,4,5,5,4,4,4,4,4,3,4,4,4,4,3,4,2,2,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,无
255,1,5,5,6,4,4,2,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,2,2,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,4,4,4,2,3,4,3,4,5,4,4,5,5,5,4,4,3,4,5,5,3,5,5,4,1,2,3,3,3,3,2,1,3,4,4,5,4,1,3,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,无
256,2,4,4,6,2,3,4,2,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2,1,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,0,1,0,1,0,0,4,4,3,4,4,4,3,5,5,5,4,2,4,3,4,5,3,5,5,4,3,3,4,4,3,3,4,4,3,3,4,3,4,5,5,4,5,4,2,2,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,无
257,1,3,1,6,2,3,4,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,5,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,5,4,4,4,5,2,3,1,3,5,4,4,3,4,5,4,4,4,3,5,3,5,5,5,3,4,3,3,5,4,5,5,4,4,4,5,4,1,3,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,无
258,1,2,2,5,4,1,1,2,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,4,3,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,0,1,0,0,0,0,4,4,5,5,4,4,3,5,5,5,4,5,4,5,2,1,2,3,1,3,3,2,3,1,4,3,5,4,4,4,3,4,5,5,4,3,4,4,2,2,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,无
259,2,5,3,2,4,3,2,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,4,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,4,4,4,4,4,5,4,4,5,5,4,4,5,5,3,5,3,4,3,4,4,3,3,5,4,4,5,5,5,5,4,4,4,3,3,4,5,3,2,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,无
260,1,3,3,2,4,2,3,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,4,2,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,3,1,2,3,2,3,1,2,1,3,1,2,4,3,3,3,3,4,2,3,1,1,1,3,3,3,2,1,2,2,3,2,2,2,1,2,1,4,4,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,无
261,1,2,4,4,5,1,2,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,4,2,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,4,5,3,5,4,5,5,3,5,5,4,5,3,4,3,5,5,4,5,5,4,3,5,4,5,4,5,4,4,4,5,5,4,4,3,5,3,2,3,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,无
